,invoice_id,quantity,total_price,profit,category,rating,payment_method,DateTime
0,1,7,522.8299999999999,250.96,Health and beauty,9.1,Ewallet,2019-01-05 13:08:00
1,2,5,76.39999999999999,36.67,Electronic accessories,9.6,Cash,2019-03-08 10:29:00
2,3,7,324.31,107.02,Home and lifestyle,7.4,Credit card,2019-03-03 13:23:00
3,4,8,465.76,153.7,Health and beauty,8.4,Ewallet,2019-01-27 20:33:00
4,5,7,604.1700000000001,290.0,Sports and travel,5.3,Ewallet,2019-02-08 10:37:00
5,6,7,597.73,286.91,Electronic accessories,4.1,Ewallet,2019-03-25 18:30:00
6,7,6,413.04,136.3,Electronic accessories,5.8,Ewallet,2019-02-25 14:36:00
7,8,10,735.6,132.41,Home and lifestyle,8.0,Ewallet,2019-02-24 11:38:00
8,9,2,72.52,23.93,Health and beauty,7.2,Credit card,2019-01-10 17:15:00
9,10,3,164.52,54.29,Food and beverages,5.9,Credit card,2019-02-20 13:27:00
10,11,4,57.92,27.8,Fashion accessories,4.5,Ewallet,2019-02-06 18:07:00
11,12,4,102.04,48.98,Electronic accessories,6.8,Cash,2019-03-09 17:03:00
12,13,5,234.75,112.68,Electronic accessories,7.1,Ewallet,2019-02-12 10:25:00
13,14,10,431.9,207.31,Food and beverages,8.2,Ewallet,2019-02-07 16:48:00
14,15,10,713.8,342.62,Health and beauty,5.7,Cash,2019-03-29 19:21:00
15,16,6,562.3199999999999,269.91,Sports and travel,4.5,Cash,2019-01-15 16:19:00
16,17,7,482.51000000000005,231.6,Health and beauty,4.6,Credit card,2019-03-11 11:03:00
17,18,6,435.65999999999997,143.77,Sports and travel,6.9,Credit card,2019-01-01 10:39:00
18,19,3,164.01,93.49,Food and beverages,8.6,Credit card,2019-01-21 18:00:00
19,20,2,80.6,38.69,Home and lifestyle,4.4,Ewallet,2019-03-11 15:30:00
20,21,5,430.20000000000005,206.5,Electronic accessories,4.8,Ewallet,2019-02-25 11:24:00
21,22,3,263.94,87.1,Health and beauty,5.1,Ewallet,2019-03-05 10:40:00
22,23,2,66.4,21.91,Home and lifestyle,4.4,Credit card,2019-03-15 12:20:00
23,24,5,172.8,57.02,Electronic accessories,9.9,Ewallet,2019-02-17 11:15:00
24,25,3,265.89,127.63,Sports and travel,6.0,Ewallet,2019-03-02 17:36:00
25,26,8,420.72,151.46,Home and lifestyle,8.5,Credit card,2019-03-22 19:20:00
26,27,1,33.52,11.06,Fashion accessories,6.7,Cash,2019-02-08 15:31:00
27,28,2,175.34,84.16,Fashion accessories,7.7,Credit card,2019-03-10 12:17:00
28,29,5,441.8,212.06,Food and beverages,9.6,Cash,2019-01-25 19:48:00
29,30,9,224.01,73.92,Health and beauty,7.4,Cash,2019-03-15 15:36:00
30,31,5,470.65,155.31,Fashion accessories,4.8,Credit card,2019-02-25 19:39:00
31,32,9,702.6299999999999,126.47,Sports and travel,4.5,Cash,2019-01-28 12:43:00
32,33,8,670.24,321.72,Sports and travel,5.1,Cash,2019-01-10 14:49:00
33,34,2,193.16,34.77,Health and beauty,5.1,Credit card,2019-03-15 10:12:00
34,35,4,397.68,190.89,Food and beverages,7.5,Ewallet,2019-02-06 10:42:00
35,36,1,68.12,22.48,Sports and travel,6.8,Ewallet,2019-01-07 12:28:00
36,37,5,313.09999999999997,150.29,Sports and travel,7.0,Ewallet,2019-03-10 19:15:00
37,38,9,547.9200000000001,180.81,Electronic accessories,4.7,Ewallet,2019-01-15 17:17:00
38,39,8,439.36,144.99,Health and beauty,7.6,Ewallet,2019-03-23 13:24:00
39,40,8,240.96,115.66,Home and lifestyle,7.7,Cash,2019-03-03 13:01:00
40,41,1,86.72,41.63,Home and lifestyle,7.9,Ewallet,2019-01-17 18:45:00
41,42,2,112.22,37.03,Home and lifestyle,6.3,Cash,2019-02-02 10:11:00
42,43,6,414.72,136.86,Sports and travel,5.6,Cash,2019-02-08 13:03:00
43,44,8,789.6,379.01,Food and beverages,7.6,Cash,2019-03-04 20:39:00
44,45,2,30.74,14.76,Health and beauty,7.2,Cash,2019-03-16 19:47:00
45,46,4,375.84,124.03,Electronic accessories,9.5,Cash,2019-03-09 18:00:00
46,47,9,510.21,168.37,Health and beauty,8.4,Credit card,2019-02-27 17:24:00
47,48,9,180.09,86.44,Food and beverages,4.1,Ewallet,2019-02-06 15:47:00
48,49,6,113.58,37.48,Electronic accessories,8.1,Credit card,2019-02-10 12:45:00
49,50,10,826.3,396.62,Fashion accessories,7.9,Ewallet,2019-03-19 17:08:00
50,51,7,639.8000000000001,211.13,Food and beverages,9.5,Cash,2019-02-03 10:19:00
51,52,5,222.95000000000002,73.57,Food and beverages,8.5,Cash,2019-02-10 15:10:00
52,53,4,71.48,34.31,Fashion accessories,6.5,Ewallet,2019-03-22 14:42:00
53,54,1,15.43,7.41,Fashion accessories,6.1,Credit card,2019-01-25 15:46:00
54,55,2,32.32,15.51,Home and lifestyle,6.5,Ewallet,2019-03-07 11:49:00
55,56,8,687.84,330.16,Electronic accessories,8.2,Cash,2019-02-28 19:01:00
56,57,2,88.68,31.92,Home and lifestyle,5.8,Cash,2019-03-27 11:26:00
57,58,8,716.8,236.54,Health and beauty,6.6,Ewallet,2019-02-07 11:28:00
58,59,10,723.5,238.76,Home and lifestyle,5.4,Cash,2019-01-20 15:55:00
59,60,6,183.66,88.16,Electronic accessories,9.3,Cash,2019-03-12 20:36:00
60,61,3,74.22,35.63,Sports and travel,10.0,Credit card,2019-02-15 17:47:00
61,62,6,334.38,110.35,Home and lifestyle,7.0,Ewallet,2019-02-24 10:55:00
62,63,9,495.63,237.9,Sports and travel,10.0,Ewallet,2019-02-03 13:40:00
63,64,10,158.1,52.17,Sports and travel,8.6,Credit card,2019-03-06 12:27:00
64,65,4,302.96,99.98,Health and beauty,7.6,Cash,2019-02-14 14:35:00
65,66,10,158.7,76.18,Health and beauty,5.8,Cash,2019-03-13 16:40:00
66,67,2,66.94,32.13,Health and beauty,6.7,Ewallet,2019-02-10 15:43:00
67,68,6,585.66,281.12,Fashion accessories,9.9,Ewallet,2019-01-07 15:01:00
68,69,10,787.6999999999999,259.94,Sports and travel,6.4,Cash,2019-01-24 10:04:00
69,70,1,18.33,8.8,Health and beauty,4.3,Cash,2019-02-02 18:50:00
70,71,10,894.8000000000001,429.5,Food and beverages,9.6,Credit card,2019-01-06 12:46:00
71,72,10,621.1999999999999,298.18,Fashion accessories,5.9,Cash,2019-02-11 16:19:00
72,73,3,145.56,26.2,Food and beverages,4.0,Ewallet,2019-03-05 18:17:00
73,74,6,455.46,150.3,Electronic accessories,8.7,Cash,2019-03-09 18:21:00
74,75,9,672.03,221.77,Home and lifestyle,9.4,Ewallet,2019-01-22 10:55:00
75,76,10,416.5,199.92,Electronic accessories,5.4,Credit card,2019-01-13 17:04:00
76,77,9,441.36,145.65,Fashion accessories,8.6,Credit card,2019-01-09 14:20:00
77,78,9,180.09,59.43,Fashion accessories,5.7,Credit card,2019-01-12 15:48:00
78,79,10,783.1,258.42,Food and beverages,6.6,Ewallet,2019-03-05 16:24:00
79,80,5,101.89999999999999,33.63,Health and beauty,6.0,Cash,2019-01-22 18:56:00
80,81,6,595.14,196.4,Health and beauty,5.5,Credit card,2019-01-21 14:42:00
81,82,3,290.04,95.71,Food and beverages,6.4,Ewallet,2019-01-26 19:56:00
82,83,8,154.0,50.82,Food and beverages,6.6,Ewallet,2019-01-23 18:37:00
83,84,4,321.44,154.29,Food and beverages,8.3,Ewallet,2019-02-23 18:45:00
84,85,5,244.54999999999998,44.02,Sports and travel,6.6,Cash,2019-03-09 10:17:00
85,86,7,581.4200000000001,279.08,Sports and travel,4.0,Ewallet,2019-03-05 14:31:00
86,87,5,382.59999999999997,183.65,Fashion accessories,9.9,Cash,2019-03-25 10:23:00
87,88,7,345.66,165.92,Food and beverages,7.3,Credit card,2019-03-27 20:35:00
88,89,1,42.47,20.39,Sports and travel,5.7,Cash,2019-01-02 16:57:00
89,90,6,461.93999999999994,152.44,Health and beauty,6.1,Cash,2019-02-27 17:55:00
90,91,4,189.52,62.54,Home and lifestyle,7.1,Cash,2019-01-23 10:25:00
91,92,10,448.6,215.33,Sports and travel,8.2,Ewallet,2019-01-26 19:54:00
92,93,7,153.86,73.85,Sports and travel,5.1,Ewallet,2019-01-10 16:42:00
93,94,9,579.24,191.15,Health and beauty,8.6,Credit card,2019-03-12 12:09:00
94,95,1,89.75,29.62,Health and beauty,6.6,Credit card,2019-02-06 20:05:00
95,96,1,97.16,46.64,Electronic accessories,7.2,Ewallet,2019-03-08 20:38:00
96,97,10,878.7,421.78,Health and beauty,5.1,Ewallet,2019-03-29 10:25:00
97,98,6,74.69999999999999,13.45,Electronic accessories,4.1,Cash,2019-02-09 13:11:00
98,99,3,158.25,75.96,Food and beverages,9.3,Ewallet,2019-03-23 10:16:00
99,100,6,496.20000000000005,238.18,Home and lifestyle,7.4,Cash,2019-03-05 18:14:00
100,101,1,48.71,16.07,Fashion accessories,4.1,Cash,2019-03-26 19:20:00
101,102,9,706.9499999999999,233.29,Fashion accessories,7.2,Cash,2019-03-01 13:22:00
102,103,9,207.63,99.66,Electronic accessories,4.9,Cash,2019-02-01 11:27:00
103,104,6,349.56,167.79,Food and beverages,9.9,Cash,2019-03-28 16:44:00
104,105,7,212.45000000000002,70.11,Health and beauty,8.0,Cash,2019-03-19 18:19:00
105,106,10,886.7,292.61,Electronic accessories,7.3,Ewallet,2019-01-12 14:50:00
106,107,6,164.28,78.85,Fashion accessories,7.9,Credit card,2019-01-05 20:54:00
107,108,6,372.78000000000003,178.93,Sports and travel,7.4,Cash,2019-03-22 20:19:00
108,109,9,305.82,146.79,Food and beverages,4.2,Cash,2019-03-24 10:43:00
109,110,10,819.7,270.5,Electronic accessories,9.2,Cash,2019-03-03 14:30:00
110,111,2,32.98,15.83,Sports and travel,4.6,Ewallet,2019-02-05 11:32:00
111,112,3,294.63,141.42,Health and beauty,7.8,Credit card,2019-02-05 10:41:00
112,113,7,509.88,244.74,Fashion accessories,8.4,Cash,2019-02-15 12:44:00
113,114,9,522.63,250.86,Home and lifestyle,4.3,Ewallet,2019-01-19 20:07:00
114,115,9,727.11,261.76,Home and lifestyle,9.5,Credit card,2019-02-01 20:31:00
115,116,3,81.06,26.75,Fashion accessories,7.1,Credit card,2019-03-02 13:01:00
116,117,5,109.7,52.66,Fashion accessories,5.3,Ewallet,2019-03-05 12:29:00
117,118,1,51.36,16.95,Fashion accessories,5.2,Ewallet,2019-01-16 15:26:00
118,119,10,109.60000000000001,52.61,Food and beverages,6.0,Ewallet,2019-02-02 20:48:00
119,120,2,106.88,35.27,Home and lifestyle,4.1,Ewallet,2019-01-20 20:38:00
120,121,8,796.48,382.31,Electronic accessories,5.2,Credit card,2019-02-14 17:03:00
121,122,7,399.84,131.95,Sports and travel,6.5,Credit card,2019-01-12 12:02:00
122,123,9,899.64,296.88,Sports and travel,4.2,Credit card,2019-03-09 17:26:00
123,124,8,511.28,168.72,Home and lifestyle,4.6,Credit card,2019-03-13 19:52:00
124,125,8,451.76,149.08,Fashion accessories,7.3,Ewallet,2019-03-09 14:57:00
125,126,7,655.8299999999999,314.8,Home and lifestyle,4.5,Credit card,2019-03-10 18:44:00
126,127,5,161.25,77.4,Sports and travel,9.0,Cash,2019-01-27 13:26:00
127,128,9,285.57,137.07,Fashion accessories,5.9,Credit card,2019-01-08 16:17:00
128,129,8,548.32,263.19,Food and beverages,8.5,Ewallet,2019-01-08 15:57:00
129,130,9,812.52,390.01,Sports and travel,7.2,Ewallet,2019-02-08 11:15:00
130,131,7,277.34,133.12,Fashion accessories,7.5,Cash,2019-01-25 13:18:00
131,132,6,552.78,182.42,Sports and travel,8.3,Cash,2019-03-06 20:34:00
132,133,4,139.36,45.99,Sports and travel,7.4,Cash,2019-02-10 18:36:00
133,134,6,524.7,188.89,Electronic accessories,8.8,Credit card,2019-02-17 14:40:00
134,135,6,487.79999999999995,160.97,Health and beauty,5.3,Ewallet,2019-03-08 16:43:00
135,136,3,270.65999999999997,48.72,Fashion accessories,6.2,Cash,2019-02-18 19:39:00
136,137,5,131.54999999999998,63.14,Electronic accessories,8.8,Credit card,2019-01-18 20:59:00
137,138,6,206.52,68.15,Home and lifestyle,9.8,Cash,2019-02-18 15:39:00
138,139,10,519.0999999999999,249.17,Sports and travel,8.2,Cash,2019-02-16 12:21:00
139,140,8,580.0,278.4,Sports and travel,9.2,Ewallet,2019-03-16 19:25:00
140,141,10,898.0,431.04,Sports and travel,5.4,Credit card,2019-01-23 13:00:00
141,142,10,905.0,434.4,Health and beauty,8.1,Cash,2019-01-25 13:48:00
142,143,10,686.0,391.02,Health and beauty,9.1,Cash,2019-02-05 19:57:00
143,144,1,30.41,5.47,Food and beverages,8.4,Credit card,2019-02-22 10:36:00
144,145,6,467.70000000000005,224.5,Home and lifestyle,8.0,Credit card,2019-01-21 16:37:00
145,146,6,277.56,133.23,Health and beauty,9.5,Credit card,2019-03-08 17:11:00
146,147,10,301.4,144.67,Fashion accessories,9.2,Ewallet,2019-02-10 12:28:00
147,148,4,264.56,55.56,Health and beauty,5.6,Credit card,2019-03-19 12:46:00
148,149,8,574.88,275.94,Home and lifestyle,6.2,Credit card,2019-03-06 15:07:00
149,150,8,259.68,85.69,Health and beauty,4.9,Credit card,2019-03-27 13:48:00
150,151,4,366.16,175.76,Fashion accessories,4.8,Credit card,2019-03-23 19:20:00
151,152,7,241.92000000000002,79.83,Sports and travel,7.3,Credit card,2019-03-11 16:07:00
152,153,9,749.16,134.85,Fashion accessories,7.4,Credit card,2019-01-29 11:56:00
153,154,6,98.88,32.63,Food and beverages,9.9,Ewallet,2019-02-07 18:23:00
154,155,8,647.76,213.76,Sports and travel,9.3,Cash,2019-01-28 13:05:00
155,156,5,461.45000000000005,152.28,Food and beverages,9.0,Cash,2019-02-20 15:55:00
156,157,1,72.17,34.64,Electronic accessories,6.1,Cash,2019-01-04 19:40:00
157,158,5,251.4,120.67,Home and lifestyle,9.7,Ewallet,2019-03-07 13:58:00
158,159,9,874.98,157.5,Health and beauty,6.0,Ewallet,2019-03-30 14:43:00
159,160,6,560.34,184.91,Sports and travel,10.0,Ewallet,2019-03-27 19:18:00
160,161,8,345.44,165.81,Food and beverages,8.3,Credit card,2019-01-19 19:39:00
161,162,1,63.69,30.57,Sports and travel,6.0,Cash,2019-02-25 16:21:00
162,163,7,320.53,153.85,Food and beverages,7.0,Credit card,2019-03-13 19:44:00
163,164,2,152.8,50.42,Sports and travel,6.5,Ewallet,2019-01-30 19:42:00
164,165,10,399.0,131.67,Food and beverages,5.9,Credit card,2019-02-20 15:24:00
165,166,8,340.56,112.38,Health and beauty,5.6,Ewallet,2019-02-25 14:12:00
166,167,10,955.8,315.41,Home and lifestyle,4.8,Cash,2019-01-16 13:32:00
167,168,10,989.8000000000001,475.1,Fashion accessories,8.7,Credit card,2019-02-08 16:20:00
168,169,6,307.68,101.53,Food and beverages,6.5,Cash,2019-01-19 16:31:00
169,170,7,486.64,160.59,Sports and travel,8.5,Credit card,2019-02-01 15:10:00
170,171,5,350.05,168.02,Health and beauty,5.5,Ewallet,2019-01-03 11:36:00
171,172,5,400.25,192.12,Food and beverages,9.4,Credit card,2019-01-26 12:45:00
172,173,8,166.8,80.06,Electronic accessories,6.3,Cash,2019-03-03 19:17:00
173,174,6,317.34000000000003,152.32,Electronic accessories,9.8,Credit card,2019-01-19 17:34:00
174,175,8,158.32,52.25,Food and beverages,8.7,Ewallet,2019-01-18 12:04:00
175,176,9,304.56000000000006,100.5,Home and lifestyle,8.8,Ewallet,2019-03-21 16:21:00
176,177,8,177.36,58.53,Food and beverages,9.6,Credit card,2019-03-03 17:01:00
177,178,7,157.57000000000002,52.0,Fashion accessories,4.8,Credit card,2019-02-13 10:50:00
178,179,6,443.28,212.77,Food and beverages,4.4,Ewallet,2019-03-23 19:16:00
179,180,3,260.4,85.93,Health and beauty,9.9,Ewallet,2019-01-28 16:47:00
180,181,7,449.82000000000005,148.44,Fashion accessories,5.7,Cash,2019-02-09 10:00:00
181,182,8,307.76,147.72,Food and beverages,7.7,Cash,2019-01-23 11:51:00
182,183,10,155.0,88.35,Sports and travel,8.0,Ewallet,2019-03-23 10:55:00
183,184,8,274.48,131.75,Health and beauty,5.7,Ewallet,2019-01-25 15:00:00
184,185,7,86.38,15.55,Sports and travel,6.7,Credit card,2019-03-04 11:19:00
185,186,3,54.239999999999995,17.9,Food and beverages,8.0,Ewallet,2019-03-05 19:46:00
186,187,8,755.92,362.84,Home and lifestyle,7.5,Ewallet,2019-03-03 19:00:00
187,188,4,185.88,89.22,Home and lifestyle,7.0,Cash,2019-02-08 10:53:00
188,189,1,74.07,24.44,Home and lifestyle,9.9,Ewallet,2019-02-10 12:50:00
189,190,4,279.24,92.15,Home and lifestyle,5.9,Credit card,2019-01-28 20:50:00
190,191,3,231.12,76.27,Home and lifestyle,7.2,Credit card,2019-02-11 10:39:00
191,192,2,147.04,48.52,Fashion accessories,4.6,Ewallet,2019-01-15 13:41:00
192,193,9,790.1999999999999,260.77,Food and beverages,9.2,Cash,2019-03-16 19:08:00
193,194,4,102.2,49.06,Home and lifestyle,5.7,Ewallet,2019-01-26 20:23:00
194,195,5,163.55,78.5,Electronic accessories,9.9,Credit card,2019-03-19 11:30:00
195,196,1,74.29,24.52,Fashion accessories,5.0,Cash,2019-01-13 19:30:00
196,197,2,87.4,28.84,Health and beauty,4.9,Cash,2019-03-26 18:03:00
197,198,1,25.29,9.1,Home and lifestyle,6.1,Ewallet,2019-03-23 10:13:00
198,199,4,166.0,54.78,Health and beauty,8.2,Credit card,2019-03-12 19:58:00
199,200,5,356.95,171.34,Food and beverages,5.5,Credit card,2019-02-17 19:57:00
200,201,6,114.89999999999999,20.68,Sports and travel,6.8,Credit card,2019-01-29 10:01:00
201,202,4,229.96,110.38,Electronic accessories,6.6,Cash,2019-03-15 11:57:00
202,203,7,429.87,141.86,Electronic accessories,9.8,Cash,2019-01-14 10:02:00
203,204,10,259.0,124.32,Health and beauty,8.7,Ewallet,2019-02-06 14:51:00
204,205,5,88.85,29.32,Home and lifestyle,5.4,Credit card,2019-02-15 12:42:00
205,206,9,207.27,68.4,Health and beauty,7.9,Ewallet,2019-01-03 12:02:00
206,207,9,599.85,287.93,Electronic accessories,9.7,Credit card,2019-01-04 18:19:00
207,208,10,285.3,94.15,Home and lifestyle,7.8,Ewallet,2019-03-18 17:38:00
208,209,3,91.11,43.73,Fashion accessories,5.1,Ewallet,2019-03-28 13:41:00
209,210,9,897.57,430.83,Electronic accessories,6.5,Credit card,2019-03-02 19:42:00
210,211,9,236.07,113.31,Electronic accessories,5.9,Ewallet,2019-01-25 20:24:00
211,212,9,839.34,276.98,Food and beverages,8.8,Cash,2019-01-16 18:08:00
212,213,5,461.8,152.39,Home and lifestyle,4.9,Ewallet,2019-03-20 19:17:00
213,214,3,139.26,45.96,Sports and travel,4.4,Credit card,2019-01-04 13:24:00
214,215,7,207.26999999999998,68.4,Sports and travel,6.5,Cash,2019-03-11 15:53:00
215,216,1,18.28,6.03,Home and lifestyle,8.3,Credit card,2019-03-22 15:05:00
216,217,5,123.85,59.45,Sports and travel,8.5,Cash,2019-03-24 18:27:00
217,218,3,283.92,93.69,Electronic accessories,5.5,Cash,2019-02-21 16:55:00
218,219,8,758.96,364.3,Fashion accessories,8.7,Ewallet,2019-02-12 12:58:00
219,220,3,172.02,82.57,Food and beverages,7.9,Credit card,2019-03-10 18:59:00
220,221,6,272.1,97.96,Electronic accessories,6.1,Ewallet,2019-01-31 13:44:00
221,222,7,434.56,143.4,Food and beverages,5.4,Ewallet,2019-03-06 13:46:00
222,223,5,59.050000000000004,28.34,Electronic accessories,9.4,Cash,2019-02-17 18:06:00
